"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
94453268,1,"Samochód osobowy",NA,NA,NA
94453268,2,"Rower",NA,NA,NA
94453276,1,"Rower",NA,NA,NA
94453281,1,"Samochód osobowy",NA,NA,NA
94453281,2,"Rower",NA,NA,NA
94453299,1,"Samochód osobowy",NA,NA,NA
94453299,2,"Rower",NA,NA,NA
94453476,1,"Samochód osobowy",NA,NA,NA
94453476,2,"Rower",NA,NA,NA
94453893,1,"Rower",NA,NA,NA
94453893,2,"Samochód osobowy",NA,NA,NA
94453898,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94453898,2,"Rower",NA,NA,NA
94455315,1,"Samochód osobowy",NA,NA,NA
94455315,2,"Rower",NA,NA,NA
94456086,1,"Rower",NA,NA,NA
94456086,2,"Rower",NA,NA,NA
94456107,1,"Rower",NA,NA,NA
94456107,2,"Samochód osobowy",NA,NA,NA
94456383,1,"Rower",NA,NA,NA
94456406,1,"Samochód osobowy",NA,NA,NA
94456406,2,"Rower",NA,NA,NA
94457152,1,"Rower",NA,NA,NA
94457152,2,"Samochód osobowy",NA,NA,NA
94457203,1,"Rower",NA,NA,NA
94457203,2,"Samochód osobowy",NA,NA,NA
94457382,1,"Rower",NA,NA,NA
94457477,1,"Rower",NA,NA,NA
94457477,2,"Samochód osobowy",NA,NA,NA
94457705,1,"Rower",NA,NA,NA
94457742,1,"Samochód osobowy",NA,NA,NA
94457742,2,"Rower",NA,NA,NA
94457770,1,"Rower",NA,NA,NA
94457770,2,"Samochód osobowy",NA,NA,NA
94457774,1,"Rower",NA,NA,NA
94457818,1,"Rower",NA,NA,NA
94457818,2,"Samochód osobowy",NA,NA,NA
94458088,1,"Rower",NA,NA,NA
94458088,2,"Samochód osobowy",NA,NA,NA
94458885,1,"Samochód osobowy",NA,NA,NA
94458885,2,"Rower",NA,NA,NA
94459301,1,"Rower",NA,NA,NA
94460902,1,"Rower",NA,NA,NA
94460902,2,"Rower",NA,NA,NA
94460910,1,"Samochód osobowy",NA,NA,NA
94460910,2,"Rower",NA,NA,NA
94463275,1,"Samochód osobowy",NA,NA,NA
94463275,2,"Rower",NA,NA,NA
94464027,1,"Rower",NA,NA,NA
94464027,2,"Samochód osobowy",NA,NA,NA
94464341,1,"Samochód osobowy",NA,NA,NA
94464341,2,"Rower",NA,NA,NA
94464342,1,"Rower",NA,NA,NA
94464342,2,"Samochód osobowy",NA,NA,NA
94464357,1,"Rower",NA,NA,NA
94464357,2,"Rower",NA,NA,NA
94465036,1,"Rower",NA,NA,NA
94465036,2,"Tramwaj, trolejbus",NA,NA,NA
94465063,1,"Samochód osobowy",NA,NA,NA
94465063,2,"Rower",NA,NA,NA
94465405,1,"Samochód osobowy",NA,NA,NA
94465405,2,"Rower",NA,NA,NA
94465672,1,"Samochód osobowy",NA,NA,NA
94465672,2,"Rower",NA,NA,NA
94467174,1,"Rower",NA,NA,NA
94467174,2,"Samochód osobowy",NA,NA,NA
94467295,1,"Samochód osobowy",NA,NA,NA
94467295,2,"Rower",NA,NA,NA
94467338,1,"Samochód osobowy",NA,NA,NA
94467338,2,"Rower",NA,NA,NA
94468550,1,"Samochód osobowy",NA,NA,NA
94468550,2,"Rower",NA,NA,NA
94470324,1,"Samochód osobowy",NA,NA,NA
94470324,2,"Rower",NA,NA,NA
94470657,1,"Rower",NA,NA,NA
94470657,2,"Samochód osobowy",NA,NA,NA
94470709,1,"Rower",NA,NA,NA
94470709,2,"Motorower",NA,NA,NA
94470860,1,"Samochód osobowy",NA,NA,NA
94470860,2,"Rower",NA,NA,NA
94474198,1,"Samochód osobowy",NA,NA,NA
94474198,2,"Rower",NA,NA,NA
94474303,1,"Rower",NA,NA,NA
94474303,2,"Samochód osobowy",NA,NA,NA
94475179,1,"Rower",NA,NA,NA
94475179,2,"Samochód osobowy",NA,NA,NA
94475381,1,"Samochód osobowy",NA,NA,NA
94475381,2,"Rower",NA,NA,NA
94475446,1,"Rower",NA,NA,NA
94475446,2,"Samochód osobowy",NA,NA,NA
94476629,1,"Samochód osobowy",NA,NA,NA
94476629,2,"Rower",NA,NA,NA
94476950,1,"Rower",NA,NA,NA
94476950,2,"Samochód osobowy",NA,NA,NA
94479634,1,"Rower",NA,NA,NA
94479634,2,"Samochód osobowy",NA,NA,NA
94479963,1,"Samochód osobowy",NA,NA,NA
94479963,2,"Rower",NA,NA,NA
94479999,1,"Rower",NA,NA,NA
94479999,2,"Rower",NA,NA,NA
94480097,1,"Rower",NA,NA,NA
94480097,2,"Samochód osobowy",NA,NA,NA
94480914,1,"Pojazd nieustalony",NA,NA,NA
94480914,2,"Rower",NA,NA,NA
94480989,1,"Rower",NA,NA,NA
94480989,2,"Rower",NA,NA,NA
94481023,1,"Samochód osobowy",NA,NA,NA
94481023,2,"Rower",NA,NA,NA
94481304,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94481304,2,"Rower",NA,NA,NA
94483205,1,"Rower",NA,NA,NA
94483205,2,"Samochód osobowy",NA,NA,NA
94483647,1,"Rower",NA,NA,NA
94483647,2,"Samochód osobowy",NA,NA,NA
94483748,1,"Samochód osobowy",NA,NA,NA
94483748,2,"Rower",NA,NA,NA
94486522,1,"Rower",NA,NA,NA
94486522,2,"Samochód osobowy",NA,NA,NA
94486558,1,"Pojazd nieustalony",NA,NA,NA
94486558,2,"Rower",NA,NA,NA
94486569,1,"Samochód osobowy",NA,NA,NA
94486569,2,"Rower",NA,NA,NA
94486585,1,"Samochód osobowy",NA,NA,NA
94486585,2,"Rower",NA,NA,NA
94486600,1,"Rower",NA,NA,NA
94486608,1,"Samochód osobowy",NA,NA,NA
94486608,2,"Rower",NA,NA,NA
94487690,1,"Rower",NA,NA,NA
94487690,2,"Samochód osobowy",NA,NA,NA
94488854,1,"Samochód osobowy",NA,NA,NA
94488854,2,"Rower",NA,NA,NA
94490123,1,"Rower",NA,NA,NA
94492305,1,"Samochód osobowy",NA,NA,NA
94492305,2,"Rower",NA,NA,NA
94492312,1,"Rower",NA,NA,NA
94492312,2,"Samochód osobowy",NA,NA,NA
94492341,1,"Rower",NA,NA,NA
94492341,2,"Samochód osobowy",NA,NA,NA
94492350,1,"Samochód osobowy",NA,NA,NA
94492350,2,"Rower",NA,NA,NA
94497950,1,"Samochód osobowy",NA,NA,NA
94497950,2,"Samochód osobowy",NA,NA,NA
94497950,3,"Rower",NA,NA,NA
94499232,1,"Rower",NA,NA,NA
94499232,2,"Samochód osobowy",NA,NA,NA
94499242,1,"Samochód osobowy",NA,NA,NA
94499242,2,"Rower",NA,NA,NA
94499256,1,"Samochód osobowy",NA,NA,NA
94499256,2,"Rower",NA,NA,NA
94499262,1,"Samochód osobowy",NA,NA,NA
94499262,2,"Rower",NA,NA,NA
94499289,1,"Samochód osobowy",NA,NA,NA
94499289,2,"Rower",NA,NA,NA
94499736,1,"Rower",NA,NA,NA
94499736,2,"Samochód osobowy",NA,NA,NA
94500996,1,"Rower",NA,NA,NA
94500996,2,"Samochód osobowy",NA,NA,NA
94501130,1,"Rower",NA,NA,NA
94501157,1,"Samochód osobowy",NA,NA,NA
94501157,2,"Rower",NA,NA,NA
94503456,1,"Rower",NA,NA,NA
94503456,2,"Samochód osobowy",NA,NA,NA
94506109,1,"Samochód osobowy",NA,NA,NA
94506109,2,"Rower",NA,NA,NA
94506439,1,"Rower",NA,NA,NA
94506515,1,"Rower",NA,NA,NA
94506515,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94506599,1,"Rower",NA,NA,NA
94506599,2,"Samochód osobowy",NA,NA,NA
94506712,1,"Rower",NA,NA,NA
94506712,2,"Samochód osobowy",NA,NA,NA
94506765,1,"Rower",NA,NA,NA
94506765,2,"Samochód osobowy",NA,NA,NA
94507100,1,"Rower",NA,NA,NA
94507791,1,"Samochód osobowy",NA,NA,NA
94507791,2,"Rower",NA,NA,NA
94508010,1,"Samochód osobowy",NA,NA,NA
94508010,2,"Rower",NA,NA,NA
94508795,1,"Samochód osobowy",NA,NA,NA
94508795,2,"Rower",NA,NA,NA
94510404,1,"Rower",NA,NA,NA
94510404,2,"Samochód osobowy",NA,NA,NA
94514017,1,"Samochód osobowy",NA,NA,NA
94514017,2,"Rower",NA,NA,NA
94514017,3,"Samochód osobowy",NA,NA,NA
94514211,1,"Rower",NA,NA,NA
94514211,2,"Samochód osobowy",NA,NA,NA
94515066,1,"Samochód osobowy",NA,NA,NA
94515066,2,"Rower",NA,NA,NA
94517305,1,"Rower",NA,NA,NA
94517305,2,"Samochód osobowy",NA,NA,NA
94517556,1,"Rower",NA,NA,NA
94517556,2,"Samochód osobowy",NA,NA,NA
94517577,1,"Samochód osobowy",NA,NA,NA
94517577,2,"Rower",NA,NA,NA
94518020,1,"Rower",NA,NA,NA
94518020,2,"Samochód osobowy",NA,NA,NA
94518530,1,"Samochód osobowy",NA,NA,NA
94518530,2,"Rower",NA,NA,NA
94518530,3,"Samochód osobowy",NA,NA,NA
94522195,1,"Rower",NA,NA,NA
94522195,2,"Samochód osobowy",NA,NA,NA
94522368,1,"Rower",NA,NA,NA
94522368,2,"Rower",NA,NA,NA
94522546,1,"Samochód osobowy",NA,NA,NA
94522546,2,"Rower",NA,NA,NA
94522549,1,"Rower",NA,NA,NA
94526914,1,"Rower",NA,NA,NA
94526914,2,"Samochód osobowy",NA,NA,NA
94527346,1,"Rower",NA,NA,NA
94527973,1,"Rower",NA,NA,NA
94527981,1,"Rower",NA,NA,NA
94527981,2,"Samochód osobowy",NA,NA,NA
94528106,1,"Samochód osobowy",NA,NA,NA
94528106,2,"Rower",NA,NA,NA
94528195,1,"Samochód osobowy",NA,NA,NA
94528195,2,"Rower",NA,NA,NA
94528379,1,"Rower",NA,NA,NA
94528379,2,"Autobus komunikacji publicznej",NA,NA,NA
